,Symbol,logFC,P.Value,adj.P.Val
7895026,NA,-0.617508769,0.019813909,0.092439923
7895027,NA,-0.524110587,0.106348169,0.266606517
7895028,NA,0.199035749,0.286130054,0.492263739
7895029,NA,-0.285060041,0.413259834,0.611630128
7895030,NA,-0.399561138,0.397735702,0.597952483
7895031,NA,0.789137508,0.007044775,0.047958311
7895032,NA,0.203555939,0.05393095,0.174602031
7895033,NA,0.107825217,0.390481947,0.591316963
7895034,NA,0.440815145,0.005096216,0.039572926
7895035,NA,-0.531556296,0.106065617,0.266159232
7895036,NA,0.446596384,0.004755919,0.038017555
7895037,NA,-0.578280713,0.079124237,0.221935787
7895038,NA,0.514033394,0.002917019,0.028185717
7895039,NA,0.113793202,0.167095634,0.353166392
7895040,NA,-0.169397364,0.44598334,0.639829747
7895041,NA,0.023155969,0.865696226,0.929601627
7895042,NA,0.103515603,0.281395542,0.487220358
7895043,NA,-0.149265243,0.269346167,0.475324322
7895044,NA,0.024451906,0.922425755,0.960099413
7895045,NA,-0.052406326,0.680168123,0.813197774
7895046,NA,-0.282279612,0.022210799,0.099467002
7895047,NA,-0.326523718,0.03502611,0.133333073
7895048,NA,0.883978694,0.056236162,0.179546983
7895049,NA,-0.217072947,0.475713179,0.6643759
7895050,NA,-0.254111432,0.075782985,0.215928979
7895051,NA,-0.279794364,0.224240845,0.4235618
7895052,NA,0.083265486,0.485883848,0.672667966
7895053,NA,-0.298767352,0.263561043,0.468917555
