"","Gene.name","ENSEMBLE ID","log2FoldChange","pvalue","padj"
"7074","SLC16A1","ENSG00000155380",-0.0269128378716029,0.290523930141856,0.729328078964143
"7075","HEATR3","ENSG00000155393",-0.0370618959627667,0.377034555951553,0.797648287636398
"7076","TRIM74","ENSG00000155428",0.0565018094726571,0.00224219675958425,0.0489536137632599
"7077","NIFK","ENSG00000155438",-0.159842811368765,0.0397566819502668,0.296870141084506
"7078","OXA1L","ENSG00000155463",0.00558521536155078,0.875998733814589,0.976512220164178
"7079","LARP1","ENSG00000155506",-0.0379808405390771,0.496432591630224,0.86859200053517
"7080","CNOT8","ENSG00000155508",-0.0674058804576624,0.260068597670437,0.69767115109441
"7081","SETD9","ENSG00000155542",-0.0995061858191654,0.114961536718286,0.494640819437209
"7082","MIER3","ENSG00000155545",-0.0365156301597458,0.460731150874385,0.847696998311654
"7083","NUP205","ENSG00000155561",-0.217525198182858,0.00804031193604561,0.114033338482186
"7084","ZKSCAN2","ENSG00000155592",-0.0408635842970335,0.445442096775986,0.840019839583771
"7085","C9orf85","ENSG00000155621",-0.130402519927052,0.0646771369154356,0.37679317510077
"7086","PIK3AP1","ENSG00000155629",0.0991591510224565,0.0891774835664562,0.439190191423506
"7087","RBM45","ENSG00000155636",-0.0929858725160619,0.120386004708302,0.505218780271014
"7088","TTN","ENSG00000155657",1.7612989297755,4.24908523233576e-06,0.000415040253266333
"7089","PDIA4","ENSG00000155660",-0.0268681604207651,0.439458712943011,0.836270689093076
"7090","KDM8","ENSG00000155666",0.316816641638374,0.00681532666226589,0.103609729551514
"7091","KCTD18","ENSG00000155729",0.0336584366488247,0.537580556569116,0.886351525088152
"7092","FAM126B","ENSG00000155744",0.0304012165750231,0.545900060572563,0.889354555321114
"7093","TMEM237","ENSG00000155755",-0.251951928073294,0.00676426693654889,0.103209638375614
"7094","FZD7","ENSG00000155760",-0.00794445955524419,0.797273152996388,0.96224893311544
"7095","DEPTOR","ENSG00000155792",-0.00735203674845781,0.846735057863629,0.971688823747448
"7096","RNF20","ENSG00000155827",-0.0745883605978701,0.0932215267518438,0.449633371060041
"7097","PPARGC1B","ENSG00000155846",-0.0293652471653609,0.376743831184675,0.797648287636398
"7098","ELMO1","ENSG00000155849",0.274507885279396,0.000320872889934407,0.011736621661112
"7099","SLC26A2","ENSG00000155850",-0.0170822276819105,0.740019024332778,0.94772094262003
"7100","LSM11","ENSG00000155858",-0.163363314837436,0.00396038743374203,0.0726784037573323
"7101","MED7","ENSG00000155868",0.036854923131653,0.497681101697251,0.869341977936093
"7102","RRAGA","ENSG00000155876",-0.0147766602839357,0.73602038883824,0.945943783548403
"7103","PXYLP1","ENSG00000155893",-0.0206987714863291,0.599384359502726,0.905671115005318
"7104","RASA2","ENSG00000155903",-0.0251961052738296,0.643212213023816,0.920299449836914
"7105","RMND1","ENSG00000155906",0.0598974891915059,0.29446036817235,0.732579178014809
"7106","SLA","ENSG00000155926",0.681921991520203,0.0025358345983607,0.0533653009827626
"7107","TMBIM4","ENSG00000155957",0.0208051279604648,0.644057351366371,0.920299449836914
"7108","VBP1","ENSG00000155959",-0.103405681570417,0.0440367521813741,0.313035906886015
"7109","RAB39B","ENSG00000155961",-0.0428980548457877,0.28104864265481,0.720052716648621
"7110","CLIC2","ENSG00000155962",0.0191392814586392,0.51329719939313,0.876536725737772
"7111","AFF2","ENSG00000155966",0.0165079338149096,0.671613503241489,0.928038306460683
"7112","MICU3","ENSG00000155970",0.034280642746706,0.300966382238139,0.736424622735123
"7113","VPS37A","ENSG00000155975",0.0515935718550965,0.282768046831894,0.721417502293472
"7114","KIF5A","ENSG00000155980",-0.00110056351898163,0.928814767056564,0.98710438588079
"7115","PSD3","ENSG00000156011",-0.0179779341778363,0.574037400346826,0.897287117683642
