,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
8112157,NA,0.185203133,5.16695004,0.964277445,0.345929953,0.526532714,-5.828783178
8112159,ANKRD55,0.408740462,5.892240713,3.166089264,0.004673623,0.062321841,-2.174789432
8112174,NA,0.559312386,8.561339066,3.447053844,0.002427573,0.046476486,-1.568146666
8112176,RNU6ATAC,0.209546801,7.775694564,0.680355246,0.503745633,0.665234328,-6.057291861
8112178,NA,0.147971449,5.321147237,1.424927867,0.168937607,0.345141458,-5.309618839
8112180,NA,-0.032151115,4.021849447,-0.352557984,0.727949552,0.832281572,-6.226239547
8112182,MIER3,-0.77826099,9.427328725,-2.355845174,0.028323943,0.134511105,-3.807930625
8112196,NA,-0.112230876,4.061840877,-0.464952554,0.646772079,0.774735122,-6.180114803
8112198,ACTBL2,0.309384493,5.244221848,1.815448471,0.083828458,0.233417134,-4.743713857
8112202,PLK2,-0.637912761,6.318576572,-0.829031604,0.416452579,0.591453253,-5.946834793
8112220,PDE4D,0.178331336,8.708557548,0.730234113,0.473351826,0.639846154,-6.022531946
8112256,NA,0.204601119,6.201241918,0.965804659,0.345182939,0.525804306,-5.827356816
8112258,NA,0.432674863,4.682916933,3.924065451,0.00078435,0.028573742,-0.51330794
8112260,DEPDC1B,-0.577433747,8.504464699,-1.106492229,0.281084486,0.463544157,-5.687254135
8112274,ELOVL7,0.063282552,10.0286961,0.148458282,0.883403842,0.933985521,-6.277817337
8112285,ERCC8,-0.511654015,7.030590105,-5.339686981,2.74E-05,0.005405838,2.640146848
8112302,SMIM15,-0.625965597,8.435286784,-2.460744411,0.022654884,0.120186131,-3.609585346
8112306,NA,0.094825987,4.00255135,1.18093415,0.250890983,0.433721876,-5.606307417
8112310,NA,0.194384923,4.78320102,1.280434847,0.214417802,0.395210051,-5.491000698
8112312,DIMT1,-0.331662984,9.682319791,-1.834724592,0.080818744,0.229452739,-4.713155774
8112327,CKS1B,-0.691409265,10.63957366,-1.41954058,0.170482151,0.346892213,-5.316668667
8112329,NA,-0.082595799,3.832048732,-1.01512115,0.32165372,0.502538659,-5.780196112
8112331,ISCA1,0.079829649,9.870198404,0.273454161,0.7871876,0.872797627,-6.251184577
8112333,HTR1A,0.206846044,6.367286511,1.61869897,0.120501592,0.285799667,-5.041944413
8112335,NA,0.124186217,7.587713295,0.78175139,0.44312535,0.615200978,-5.984186956
8112337,SREK1IP1,-0.236762941,8.856791005,-0.759219591,0.456197526,0.625953312,-6.001261402
8112342,ADAMTS6,0.181390928,5.752487719,1.359830153,0.188370441,0.366769603,-5.39333233
8112376,CENPK,-1.165868817,9.459877561,-2.753086421,0.011947931,0.092224977,-3.033934858
8112388,TRIM23,-0.351112804,7.58421368,-1.347377771,0.192282202,0.370759841,-5.408975964
8112407,NA,-0.159110758,4.998377666,-0.899947237,0.37839887,0.556521397,-5.886984802
8112409,SGTB,-0.438406951,7.972296806,-1.37533895,0.183586922,0.361880096,-5.373681865
8112422,NA,0.265253592,6.221029224,2.468287321,0.022290927,0.119443452,-3.595143577
8112424,NA,0.041764135,3.568698802,0.355499627,0.725777326,0.830767906,-6.225191669
8112426,NA,0.170304814,4.315178694,1.762471088,0.092606071,0.246870739,-4.826496983
8112428,CD180,0.646877094,6.188005917,3.063680171,0.00591668,0.06845299,-2.391953503
8112433,NA,0.255811591,7.069212161,1.693317382,0.105245458,0.264300326,-4.931841497
8112435,LINC02198,0.377466214,8.179663331,3.095820858,0.005495618,0.066558487,-2.324056898
8112437,NA,0.184307214,4.139796716,1.622001705,0.119788961,0.284799217,-5.037151187
8112439,CCDC125,-0.200857974,9.701972846,-0.833934815,0.413745725,0.589548774,-5.942843765
8112458,NA,-0.454149995,9.077559697,-2.194247633,0.039659576,0.159288745,-4.103744279
8112469,NA,-0.044262854,12.42691054,-0.326412183,0.74735786,0.844897792,-6.235175005
8112476,NA,1.008499965,7.721060126,4.650538407,0.000138794,0.012291017,1.114063914
8112478,NAIP,0.381377657,10.34634192,0.7492546,0.462052378,0.630893055,-6.008662416
8112491,NA,-0.064671331,11.58274966,-0.329192877,0.745285265,0.843471108,-6.234257032
8112519,NA,0.957721202,7.425030356,3.508851525,0.002099153,0.043039098,-1.432949792
8112521,NAIP,0.400075672,10.23466537,0.832053688,0.414782892,0.590290463,-5.944377529
8112538,NA,-0.265672269,9.160905687,-2.913959022,0.008323714,0.078894023,-2.704814428
8112558,NA,-0.056806184,12.2882819,-0.324082605,0.749095726,0.846172962,-6.235938122
8112560,NA,-0.085655732,12.97717274,-0.733758948,0.471245595,0.637977824,-6.019987185
8112564,NA,-0.039333056,12.4553302,-0.287158776,0.776817865,0.866125941,-6.247310387
8112570,MRPS27,-0.208021456,10.1537026,-1.207943246,0.240557594,0.422549389,-5.575802829
8112582,NA,-0.090147822,6.688001358,-0.468598147,0.644206426,0.772755291,-6.178410344
8112584,ZNF366,0.211111086,6.55300673,2.49906292,0.020861738,0.115907441,-3.535979354
8112592,FOXD1,0.358384222,6.314617519,4.618866704,0.000149645,0.012582662,1.043225552
8112596,ANKRA2,-0.508417434,8.157666091,-2.309315937,0.031236522,0.140970789,-3.894358875
8112607,NA,0.047325614,3.414561756,0.485789645,0.632169232,0.763874979,-6.170197218
8112609,NA,0.194325016,5.788672101,1.111806983,0.278844515,0.461213344,-5.681628866
8112611,NA,-0.196762871,4.374874934,-1.73879916,0.096777472,0.25275007,-4.862908125
8112613,NA,0.240766904,7.548042575,2.008758574,0.057653541,0.191452076,-4.427167631
8112615,ENC1,-0.413044474,7.02537303,-1.576125402,0.130010352,0.296814558,-5.103054228
8112622,GFM2,-0.778077689,8.853359231,-2.713302222,0.013052717,0.095646194,-3.114072993
8112647,NA,-0.378291864,4.198204383,-2.093662172,0.048663356,0.175875801,-4.281388797
8112649,FAM169A,-1.173376611,7.655686119,-2.735590434,0.01242238,0.093695246,-3.069241947
8112664,NA,-0.03103906,3.229983841,-0.437737381,0.666066044,0.78865356,-6.192426776
8112666,NA,-0.143199248,6.438992106,-0.848360093,0.405847152,0.581826083,-5.930974883
8112668,GCNT4,-0.396301695,7.368506184,-1.086984774,0.28941839,0.471973951,-5.70769638
8112672,ANKRD31,-0.044583958,5.501289953,-0.297145975,0.76928762,0.860764427,-6.244368746
8112687,CERT1,-0.430953084,9.338163425,-1.489491486,0.151291199,0.322857339,-5.22344897
8112709,POC5,-0.474461336,9.439172413,-2.733028191,0.012493346,0.093845617,-3.07440412
