,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B, -log10
8155634,LOC441666,-0.007065976,4.06296962,-0.044886441,0.964557307,0.999903525,-5.038626455,0.015671965
8155636,NA,-0.129337785,9.643034114,-1.231053362,0.229850686,0.999903525,-4.594369543,0.638554196
8155661,NA,0.004742942,7.687893479,0.050702658,0.959968633,0.999903525,-5.038456252,0.017742957
8155665,PGM5,0.0272749,6.22961608,0.167214033,0.868557658,0.999903525,-5.030689175,0.061201346
8155673,PIP5K1B,0.124380681,9.716429548,1.180032275,0.249183054,0.999903525,-4.629110802,0.603481496
8155696,FAM122A,0.0204806,9.775588502,0.257643141,0.79880821,0.999903525,-5.018957438,0.09755748
8155699,FXN,-0.094962501,10.66248145,-0.824811444,0.417341928,0.999903525,-4.834896732,0.379507982
8155707,TJP2,0.108813791,8.982695778,0.720044139,0.478229803,0.999903525,-4.882806444,0.320363362
8155734,FAM189A2,0.094421057,6.396196203,1.578334929,0.127160488,0.999903525,-4.326814957,0.895647814
8155747,C9orf135,0.07479276,4.613490002,1.170454202,0.252943197,0.999903525,-4.635493957,0.596976997
8155754,MAMDC2,0.188114848,7.52207004,0.780817114,0.442300063,0.999903525,-4.855753428,0.354282999
8155770,SMC5,-0.034896641,9.777742139,-0.334493406,0.740819731,0.999903525,-5.005094873,0.130287459
8155794,C9orf85,-0.010129048,7.568600561,-0.080767789,0.936274908,0.999903525,-5.037246337,0.028596615
8155802,GDA,0.010761751,5.133358916,0.14527456,0.885668388,0.999903525,-5.032785363,0.052728856
8155824,TMC1,-0.003401196,5.577920469,-0.065311927,0.948449291,0.999903525,-5.037937413,0.022985884
8155847,NA,0.046850058,6.140675696,0.38686085,0.702158986,0.999903525,-4.993614371,0.153564542
8155849,ANXA1,-0.022299931,12.8536012,-0.235909656,0.815440192,0.999903525,-5.022230335,0.088607887
8155864,RORB,0.031718106,5.710058432,0.547836323,0.588701732,0.999903525,-4.948129085,0.230104686
8155877,NA,0.040166875,5.631179524,0.577383248,0.568885898,0.999903525,-4.938130514,0.244974832
8155881,NA,0.06142561,3.576335715,0.765300321,0.451314953,0.999903525,-4.862855637,0.345520277
8155883,OSTF1,0.014671662,8.885437767,0.170390461,0.866085542,0.999903525,-5.030361367,0.062439211
