,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
7894780,NA,-1.334247072,6.339604767,-6.197614429,3.93E-05,0.002197332,2.469888474
7894781,NA,-0.565561417,5.729516363,-3.660228557,0.003085654,0.026750129,-1.874956655
7894782,NA,-0.477601716,7.534304318,-3.37961919,0.00522122,0.037269955,-2.392985869
7894783,NA,-1.79870686,6.606454221,-6.614406794,2.09E-05,0.001626137,3.097960438
7894784,NA,-0.623033021,10.64594692,-4.481117978,0.000688175,0.01090632,-0.38443573
7894785,NA,-0.290638596,3.550983475,-1.759485754,0.103048326,0.256099584,-5.206939432
7894786,NA,-0.033497805,4.747055311,-0.102726555,0.91981771,0.95805362,-6.668606376
7894787,NA,-0.196723648,13.16164565,-2.01122242,0.066488452,0.193384519,-4.816398729
7894788,NA,0.367637355,8.161233593,3.19239104,0.007430588,0.046814812,-2.738488036
7894789,NA,-0.233470345,13.18646415,-2.643830891,0.020881764,0.091496533,-3.736655841
7894790,NA,0.237290142,12.09179307,3.03735314,0.009957004,0.056518644,-3.023501852
7894791,NA,0.38153964,7.587656398,3.592270649,0.003503327,0.028927537,-2.000279084
7894792,NA,0.285729822,4.018271615,1.30504514,0.215505563,0.40778504,-5.826321591
7894793,NA,-0.607227737,5.630740405,-2.080261634,0.058793791,0.178425922,-4.704602906
7894794,NA,0.123111294,4.939816415,0.744663504,0.470311979,0.657733544,-6.385829482
7894795,NA,0.544989618,7.672198883,3.557338958,0.003739999,0.030174643,-2.064746508
7894796,NA,0.224593973,10.07185768,1.669478378,0.119980066,0.282370389,-5.339182072
7894797,NA,-0.155573002,5.710162874,-0.530858448,0.604866804,0.762339603,-6.526060244
7894798,NA,-0.038705383,12.2318044,-0.609642936,0.553072871,0.723090442,-6.479522135
7894799,NA,-0.29819759,13.18833189,-3.183067097,0.00756249,0.047341819,-2.755665391
7894800,NA,-0.008137913,9.105178908,-0.042412567,0.96684309,0.984675304,-6.673258955
7894801,NA,0.231033847,9.615377929,1.65883011,0.122137325,0.285302685,-5.35454229
7894802,NA,0.140746074,8.417701428,1.192114395,0.255465212,0.454023082,-5.95929027
7894803,NA,-0.606253524,9.585397596,-6.111788978,4.49E-05,0.002388696,2.337338018
7894804,NA,-0.785813964,7.242622693,-3.556783633,0.00374389,0.030181869,-2.065771598
7894805,NA,-0.648530159,6.786475571,-2.316657912,0.038304795,0.135197964,-4.3091725
7894806,NA,0.127060973,12.46767287,1.63566017,0.126949307,0.292386462,-5.387749939
7894807,NA,-0.134029414,6.999099786,-1.056168238,0.310974854,0.512060843,-6.106549988
7894808,NA,-0.171562126,12.74945636,-1.923733211,0.077575454,0.213614777,-4.955324853
7894809,NA,-0.66501422,9.930574402,-4.854306161,0.0003569,0.007344688,0.270752474
7894810,NA,-0.139450997,6.110692789,-0.788193557,0.445346295,0.636907937,-6.351974371
7894811,NA,-0.030891539,5.899132074,-0.195673312,0.84802627,0.917763633,-6.653887386
7894812,NA,-0.631552876,7.900091061,-3.27404133,0.006369961,0.042386211,-2.587924078
7894813,NA,0.514050423,11.21020352,5.248635042,0.000181959,0.004962083,0.943313489
7894814,NA,-0.270668856,6.352764817,-1.315957229,0.211926989,0.402746175,-5.812987125
7894815,NA,-0.433402873,6.752836187,-2.000021213,0.067821468,0.195807804,-4.834361323
7894816,NA,0.182146353,4.235330905,1.060307134,0.309161261,0.510165143,-6.102282663
7894817,NA,-0.550471968,10.83930565,-3.802416122,0.002368469,0.022819132,-1.613322525
7894818,NA,-0.064560075,7.904272952,-0.332578372,0.744991025,0.857507127,-6.615663101
7894819,NA,-1.409440513,8.294829332,-11.41260916,5.93E-08,8.23E-05,8.700488468
7894820,NA,-0.230420804,8.456923438,-2.089859873,0.057792143,0.176307271,-4.688917387
7894821,NA,-0.011845962,7.156131643,-0.048422274,0.962148595,0.982076642,-6.672968724
7894822,NA,-0.870602353,9.692745654,-5.479750779,0.000123832,0.00398426,1.32733051
7894823,NA,-0.108051387,8.127297492,-0.875228927,0.398036082,0.595444668,-6.279118269
7894824,NA,0.159767149,9.662208502,1.705899258,0.112852967,0.271448764,-5.286182643
7894825,NA,-0.454961075,9.510757945,-2.389093716,0.033528319,0.123777388,-4.184616244
7894826,NA,0.360959839,11.91308128,3.481467053,0.004311668,0.033073809,-2.204848681
7894827,NA,0.206402726,10.18865172,1.113893434,0.286387757,0.487567908,-6.045791808
7894828,NA,-0.459530757,5.077704822,-1.822777993,0.092453106,0.23869462,-5.111485934
7894829,NA,0.003700384,3.638905951,0.025083757,0.98038612,0.990567103,-6.673880848
7894830,NA,-0.446943778,9.168636723,-3.265198813,0.006477048,0.04278422,-2.604240264
7894831,NA,-0.255465159,7.31561771,-1.262820184,0.229815528,0.42464771,-5.877124467
7894832,NA,-0.135343678,6.841594363,-0.701058188,0.496174042,0.678504248,-6.41797804
7894833,NA,-0.48344323,8.929166264,-4.793097097,0.000396989,0.007854162,0.164480294
7894834,NA,0.410368793,10.82927482,4.762485553,0.000418775,0.008092835,0.111151004
7894835,NA,0.039873155,5.416200539,0.214628129,0.833536018,0.909408853,-6.649766035
7894836,NA,-0.487492116,9.36549772,-3.420679009,0.004833195,0.035509905,-2.317138337
7894837,NA,0.184183445,9.151402054,1.352310644,0.20035225,0.389441265,-5.76796564
7894838,NA,0.3289672,11.08463403,1.992172377,0.068770188,0.197670278,-4.846917859
7894840,NA,-0.510099812,10.3850867,-3.595563022,0.003481821,0.028817849,-1.994204447
7894841,NA,-0.394756591,4.294159222,-2.088525628,0.057930423,0.176580113,-4.691099855
